Event	ID	Name			Wwise Object Path	Notes
	1113055	army_cavalry_5_east_mediterranean_gfx			\ev_illustrations_units\units\ev_army_cavalry\ev_army_cavalry_east_mediterranean\army_cavalry_5_east_mediterranean_gfx	
	3611569	mf_generic_small_walla_loud			\ev_amb\ev_amb_contextual\wallas\02_loud\mf_generic_small_walla_loud	
	6668300	fs_heavyshoe_stone_pivot_scuff			\ev_composite\fs_pivot_scuff\fs_heavyshoe_stone_pivot_scuff	
	7720763	amb_fauna_emu			\ev_amb\on_map\fauna\amb_fauna_emu	Redundent - in favour of "moa". There are no "emu" assets to tie to
	10850582	army_infantry_5_light_tag_middle_east_gfx			\ev_illustrations_units\units\ev_army_infantry\ev_army_infantry_middle_east\army_infantry_5_light_tag_middle_east_gfx	
	13898934	amb_baseWater_lake_shore_beach			\ev_illustrations\water\amb_baseWater_lake_shore_beach	
	14942292	fs_sand_barefoot_walk_seq			\ev_illustrations\footsteps\sand\fs_sand_barefoot_walk_seq	
	19502443	hundred_years_war			\ev_illustrations\situations\hundred_years_war	Ext battlefield, facing armies, footmen assorted weapons and armor to left, riders in armor on right
	20556181	black_death			\ev_illustrations\situations\black_death	City street ext, fires, cart with dead bodies, european
	23082038	revolution_disaster			\ev_illustrations\disasters\revolution_disaster	
	24498314	amb_fauna_elk			\ev_amb\on_map\fauna\amb_fauna_elk	compound: game\in_game\gfx\compound_nodes\snd_cmp_omo_fauna_elk  compound imp on all "elk" schematics (multi) 
	25243569	building_mines_cart			\ev_amb\on_map\buildings\building_mines_cart	compound: game\in_game\gfx\compound_nodes\snd_cmp_omo_building_mine_cart  compound imp on all found schematics using "cart" style "mining" mesh, e.g., "" 
	25246181	army_infantry_3_east_asian_gfx			\ev_illustrations_units\units\ev_army_infantry\ev_army_infantry_east_asian\army_infantry_3_east_asian_gfx	
	38241661	tropical_sparse_ground3			\ev_illustrations_locations\ground3\tropical\tropical_sparse_ground3	
	38241663	tropical_sparse_ground1			\ev_illustrations_locations\ground1\tropical\tropical_sparse_ground1	
	54784581	amb_rawgood_marble			\ev_amb\on_map\rawgoods\amb_rawgood_marble	
	55272068	throne_room_asian_middle_kingdom			\ev_illustrations\throne_rooms\throne_room_asian_middle_kingdom	Interior large room, paper windows wooden building, marble floor, large room
	63664524	PANEL_IMPORT_EXPORT			\ev_amb_panels\03_PRODUCTION\PANEL_IMPORT_EXPORT	
	69776646	unit_moveorderresponse_invalid			\ev_char_military\feedback\unit_moveorderresponse_invalid	
	72013868	PANEL_RELIGIONS_LEDGER			\ev_amb_panels\ledger panels\PANEL_RELIGIONS_LEDGER	
	75122460	army_infantry_4_light_tag_east_asian_gfx			\ev_illustrations_units\units\ev_army_infantry\ev_army_infantry_east_asian\army_infantry_4_light_tag_east_asian_gfx	
	75834347	amb_rawgood_dyes			\ev_amb\on_map\rawgoods\amb_rawgood_dyes	
	76965595	ashanti_burghers_interior			\ev_illustrations\events\backgrounds\interior\ashanti_burghers_interior	Townhouse interior hall. plaster walls, clothes, books
	80756980	army_infantry_3_light_tag_east_mediterranean_gfx			\ev_illustrations_units\units\ev_army_infantry\ev_armny_infantry_east_mediterranean\army_infantry_3_light_tag_east_mediterranean_gfx	
	85992317	fs_grp_dirt_lightShoe_walk_small_quad_slice			\ev_illustrations\footsteps\dirt\fs_grp_dirt_lightShoe_walk_small_quad_slice	
	86562382	army_infantry_archer_tag_east_asian_gfx			\ev_illustrations_units\units\ev_army_infantry_archer\army_infantry_archer_tag_east_asian_gfx	
	87170674	shield_metal_large			\ev_composite\shields\shield_metal_large	
	87270028	iroquois_burghers_regular			\ev_illustrations\characters\burghers\iroquois_burghers_regular	
	91485394	icon_goods_horses			\ev_illustrations\trade_goods\icon_goods_horses	
	91597106	_rec_cannon_mortar			\ev_illustrations_units\_rec\_rec_cannon_mortar	
	93209852	armour_plate			\ev_composite\armour\armour_plate	
	100541531	inland_sea			\ev_illustrations_locations\sea\inland_sea	blue sea, hills and mountains in distance, small waves 5-8 m/s (moderate breeze)
	101466899	throne_room_iroquois			\ev_illustrations\throne_rooms\throne_room_iroquois	Wooden large room, wod beams and rafters, assorted goods in shelves, openings in roof and far wall to outside 
	106414675	north_german_city			\ev_illustrations_locations\buildings\north_german_city	
	106686411	loading_screen_aztec_00			\ev_illustrations_loadingscreens\loading_screen_aztec_00	
	110459350	f_generic_large_walla_loud			\ev_amb\ev_amb_contextual\wallas\02_loud\f_generic_large_walla_loud	
	113584587	army_infantry_north_american_gfx			\ev_illustrations_units\units\ev_army_infantry\ev_army_infantry_north_america\army_infantry_north_american_gfx	
	117762018	icon_goods_saltpeter			\ev_illustrations\trade_goods\icon_goods_saltpeter	
	119700661	units_artillery_spawn			\ev_char_military\units_artillery_spawn	
	121131348	army_infantry_3_east_mediterranean_gfx			\ev_illustrations_units\units\ev_army_infantry\ev_armny_infantry_east_mediterranean\army_infantry_3_east_mediterranean_gfx	
	121959289	fs_wood_barefoot_run_seq			\ev_illustrations\footsteps\wood\fs_wood_barefoot_run_seq	
	122054845	army_infantry_3_musket_tag_middle_east_gfx			\ev_illustrations_units\units\ev_army_infantry_musket\army_infantry_3_musket_tag_middle_east_gfx	
	123398142	PANEL_TECHNOLOGY_VIEW			\ev_amb_panels\full screen panels\PANEL_TECHNOLOGY_VIEW	THIS IS THE ADVANCES TREE, full screen menu and important. A Spatialised Soundscape for the Advances Tree Panel - currently no foreground illustration-     Accessed via the Advances >Ages Left Panel and then clicking on any accessible (not greyed out) Age.
	123686789	happy_lrg_grp			\ev_illustrations\events\moods\happy_lrg_grp	
	123815629	army_infantry_6_indian_gfx			\ev_illustrations_units\units\ev_army_infantry\ev_army_infantry_indian\army_infantry_6_indian_gfx	
	125150351	army_illustration_cavalry_horses_base			\ev_composite\army_illustraion_base\army_illustration_cavalry_horses_base	
	129146593	castle			\ev_illustrations_locations\fortifications\castle	
	132330352	PANEL_CREATE_SUBJECTS			\ev_amb_panels\auxiliary or harder to reach\PANEL_CREATE_SUBJECTS	A Spatialised Soundscape for the (auxiliary) Create Subjects Panel. Currently has no Illustration. Accessed via the Diplomacy > Relations Left Panel and then the Current Relations tab, then the Create Subjects button.
	137855783	ashanti_clergy_regular			\ev_illustrations\characters\clergy\ashanti_clergy_regular	
	139779575	amb_baseWater_lake_open			\ev_illustrations\water\amb_baseWater_lake_open	
	145259508	north_german_peasants_regular			\ev_illustrations\characters\peasants\north_german_peasants_regular	sheep in middle
